Kategoriya,Sarlavha,Narx,Joy,Sana,Link
Elektronika,Кондиционеры MIDEA 07*~ 96* на стенные Official product +достака 2025г,4 895 773 сумДоговорная,"Ташкент, Юнусабадский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsionery-midea-07-96-na-stennye-official-product-dostaka-2025g-ID3LT5G.html
Elektronika,Пылесос Samsung 1600W,400 000 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/pylesos-samsung-1600w-ID2FdSj.html
Elektronika,"Кондиционер Midea ""Мульти-сплит""  Высокое качество и комфорт NEW 2025г",1 971 025 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-midea-multi-split-vysokoe-kachestvo-i-komfort-new-2025g-ID3LT8T.html
Elektronika,витрина халадильниклар сотилади,2 700 000 сум,"Ташкент, Сергелийский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/vitrina-haladilniklar-sotiladi-ID3Juy2.html
Elektronika,Telefon Redmi 11 sotiladi,1 800 000 сум,Нурафшан (Тойтепа),Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/telefon-redmi-11-sotiladi-ID3a9zx.html
Elektronika,Vitrina muzlatgichlari,15 000 000 сум,Гулистан,11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/vitrina-muzlatgichlari-ID3MQhu.html
Elektronika,продаётся акриловая ванна в хорошем состояние,500 000 сум,"Ташкент, Мирзо-Улугбекский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/prodaetsya-akrilovaya-vanna-v-horoshem-sostoyanie-ID44syO.html
Elektronika,Очиститель воздуха/воздухоочиститель Xiaomi Mi Smart Air Purifier 4 EU,2 590 000 сум,"Ташкент, Шайхантахурский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ochistitel-vozduha-vozduhoochistitel-xiaomi-mi-smart-air-purifier-4-eu-ID3j1NV.html
Elektronika,Apple AirPods 3 беспроводные наушники,1 653 118 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/apple-airpods-3-besprovodnye-naushniki-ID2DbFi.html
Elektronika,"Iphone 14 pro max 256,",14 000 000 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/iphone-14-pro-max-256-ID3a9zm.html
Elektronika,"Свой SAMSUNG SGH-D780 DUOS India, полный комплект, в ремонте не был.",550 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/svoy-samsung-sgh-d780-duos-india-polnyy-komplekt-v-remonte-ne-byl-ID442ZG.html
Elektronika,Продаётся redmi note 10c,1 400 000 сум,Самарканд,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/prodaetsya-redmi-note-10c-ID42U7N.html
Elektronika,Кондиционер Midea INVERTER со склада Оптом Установка Доставка есть,4 450 702 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-midea-inverter-so-sklada-optom-ustanovka-dostavka-est-ID43bIC.html
Elektronika,Кондиционер MIDEA inverter WiFi + Low Voltage доставка Бесплатно,4 705 028 сумДоговорная,"Ташкент, Яшнабадский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-midea-inverter-wifi-low-voltage-dostavka-besplatno-ID43bHq.html
Elektronika,Кондиционер Midea инвертор Low Voltage Wifi R32 Установка Доставка есь,4 895 773 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-midea-invertor-low-voltage-wifi-r32-ustanovka-dostavka-es-ID43bF5.html
Elektronika,Кондиционер MIDEA ALBA inverter LOW VOLTAGE R32 самый лучший кондиор,4 450 702 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-midea-alba-inverter-low-voltage-r32-samyy-luchshiy-kondior-ID41IEM.html
Elektronika,Кондиционер AUX инвертор со склада Оптом Доставка Установка есть,3 306 236 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-aux-invertor-so-sklada-optom-dostavka-ustanovka-est-ID42ljE.html
Elektronika,Колонный кондиционер AUX 24/36 инвертор оптом Доставка Установка есть,8 265 590 сумДоговорная,"Ташкент, Сергелийский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/kolonnyy-konditsioner-aux-24-36-invertor-optom-dostavka-ustanovka-est-ID42kHA.html
Elektronika,Мясорубка myasorubka meyasarofka msrofka 32 lik,8 392 753 сумДоговорная,Гулистан,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/myasorubka-myasorubka-meyasarofka-msrofka-32-lik-ID3w0IA.html
Elektronika,Playstation 5 Dualsense Edge абсолютно новый запечатанный с гарантией,2 670 421 сум,"Ташкент, Алмазарский район",04 июня 2025 г.,https://www.olx.uz/d/obyavlenie/playstation-5-dualsense-edge-absolyutno-novyy-zapechatannyy-s-garantiey-ID2ti18.html
Elektronika,Humo va Visa terminallari P10 sotiladi. Muddatli to‘lovga,2 699 000 сум,Самарканд,13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/humo-va-visa-terminallari-p10-sotiladi-muddatli-tolovga-ID3WFEs.html
Elektronika,"Кондиционер LG DUAL INVERTER охлаждение быстрее на 40%, ДОСТАВКА ЕСТЬ",5 086 517 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-lg-dual-inverter-ohlazhdenie-bystree-na-40-dostavka-est-ID41S15.html
Elektronika,"Кондиционер колонный-сплит AUX все размеры, инвертор ДОСТАВКА ЕСТЬ",3 496 980 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-kolonnyy-split-aux-vse-razmery-invertor-dostavka-est-ID3Z1IU.html
Elektronika,Кондиционер колонный AUX inverter 24/36 установка + ДОСТАВКА,8 392 753 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-kolonnyy-aux-inverter-24-36-ustanovka-dostavka-ID3Z1CQ.html
Elektronika,Ps4.    ps3.   Slim,5 722 332 сум,Бахт,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/ps4-ps3-slim-ID3QTiT.html
Elektronika,Видеокузатув камералари,200 000 сум,Чирчик,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/videokuzatuv-kameralari-ID44znU.html
Elektronika,Колонный кондиционер AUX 48/60 inverter Оптом со Склада Доставка есть,16 785 506 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/kolonnyy-konditsioner-aux-48-60-inverter-optom-so-sklada-dostavka-est-ID42b2w.html
Elektronika,"Колонный кондиционер AUX 24/36 инвертор, низком ценом, Доставка есть",8 901 405 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/kolonnyy-konditsioner-aux-24-36-invertor-nizkom-tsenom-dostavka-est-ID427p0.html
Elektronika,Колонный кондиционер AUX 36 On/off со склада Оптом Доставка Бесплатно,9 537 219 сумДоговорная,"Ташкент, Мирабадский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/kolonnyy-konditsioner-aux-36-on-off-so-sklada-optom-dostavka-besplatno-ID42767.html
Elektronika,Кондиционер Aux inverter прямо со склада Оптом Низкая Цена Доставка,3 344 385 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-aux-inverter-pryamo-so-sklada-optom-nizkaya-tsena-dostavka-ID425nM.html
Elektronika,"Кондиционер TCL 12 INVERTER, гарантия 10 лет, доставка бесплатн",3 560 562 сумДоговорная,"Ташкент, Сергелийский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-tcl-12-inverter-garantiya-10-let-dostavka-besplatn-ID3LgLz.html
Elektronika,Рация Decross DC93,1 500 000 сум,"Ташкент, Мирзо-Улугбекский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ratsiya-decross-dc93-ID3HAxG.html
Elektronika,Кондиционеры Haier DC Inverter оптовая цена,5 468 006 сум,"Ташкент, Алмазарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/konditsionery-haier-dc-inverter-optovaya-tsena-ID43oFG.html
Elektronika,"IP домофон Hikvision для домов, квартир",1 589 537 сумДоговорная,"Ташкент, Чиланзарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ip-domofon-hikvision-dlya-domov-kvartir-ID3Kzs4.html
Elektronika,Колонный кондиционер AUX INVERTER низком ценом Доставка Бесплатная,7 375 450 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/kolonnyy-konditsioner-aux-inverter-nizkom-tsenom-dostavka-besplatnaya-ID425nG.html
Elektronika,"Кондиционер AUX инвертор + тен, все моделы, установка + доставка",3 179 073 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsioner-aux-invertor-ten-vse-modely-ustanovka-dostavka-ID425ns.html
Elektronika,Продаю мотор двигатель асинхроный. Матор сотаман асинхрон,3 500 000 сумДоговорная,Самарканд,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/prodayu-motor-dvigatel-asinhronyy-mator-sotaman-asinhron-ID3ZiaQ.html
Elektronika,Virtual ko'zoynak - VR shinecon new | Uzb bo'ylab Dostavka bepul,205 000 сум,Андижан,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/virtual-kozoynak-vr-shinecon-new-uzb-boylab-dostavka-bepul-ID3ImRW.html
Elektronika,Планшет Huawei Matepad PapperMate Edition 11.5 официалка,3 814 888 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/planshet-huawei-matepad-pappermate-edition-11-5-ofitsialka-ID3Sxax.html
Elektronika,Iphone 11 pro telefoni,3 814 888 сумДоговорная,Ургенч,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/iphone-11-pro-telefoni-ID3KijJ.html
Elektronika,скидка мобильний охладитель KABEL оптом и в розницу,890 140 сум,"Ташкент, Юнусабадский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/skidka-mobilniy-ohladitel-kabel-optom-i-v-roznitsu-ID3JcH0.html
Elektronika,Холодильник нукус тахиаташ,2 500 000 сум,Тахиаташ,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/holodilnik-nukus-tahiatash-ID44znP.html
Elektronika,Пицца Печка термостат бар,5 000 000 сумДоговорная,Кунград,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/pitstsa-pechka-termostat-bar-ID3Map1.html
Elektronika,HonorX9A 5G kafolati bilan,1 525 955 сум,Бухара,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/honorx9a-5g-kafolati-bilan-ID44znM.html
Elektronika,Delonghi кофемашины большой ассортимент с доставкой по городу,1 589 537 сумДоговорная,"Ташкент, Шайхантахурский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/delonghi-kofemashiny-bolshoy-assortiment-s-dostavkoy-po-gorodu-ID3uWsr.html
Elektronika,Компьютер для трейдеров и бухгалтеров,2 606 840 сумДоговорная,Бухара,11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/kompyuter-dlya-treyderov-i-buhgalterov-ID3WRal.html
Elektronika,Скидка! Ручной вертикальный пылесос Xiaomi Deerma Vacuum DX700,589 000 сум,"Ташкент, Шайхантахурский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/skidka-ruchnoy-vertikalnyy-pylesos-xiaomi-deerma-vacuum-dx700-ID3t99j.html
Elektronika,Телевизор Samsung 43 smart tv android,2 000 000 сумДоговорная,Зангиата,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/televizor-samsung-43-smart-tv-android-ID44znL.html
Elektronika,Идеал SteamDeck Oled 512GB С Играми,6 358 146 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/ideal-steamdeck-oled-512gb-s-igrami-ID44lPl.html
Elektronika,Samsung Galaxy S23 8/256GB Dual Sim,5 086 517 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/samsung-galaxy-s23-8-256gb-dual-sim-ID43E9U.html
Elektronika,"Смарт кольцо,умное кольцо.Размер 12.",180 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/smart-koltso-umnoe-koltso-razmer-12-ID3Y2nO.html
Elektronika,Nintendo Switch Картриджи,2 543 258 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/nintendo-switch-kartridzhi-ID43E0o.html
Elektronika,Новые стиральная машина Immer 10KG в рассрочку,6 900 000 сум,Бухара,Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/novye-stiralnaya-mashina-immer-10kg-v-rassrochku-ID36Jes.html
Elektronika,Samsung galaxy A54,2 500 000 сумДоговорная,Нурабад,Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/samsung-galaxy-a54-ID3Car8.html
Elektronika,Apple iPad Air M2 128GB Wi/Fi,5 086 517 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/apple-ipad-air-m2-128gb-wi-fi-ID41KSf.html
Elektronika,Продам хороший монитор для компьютера AOC 23 диоганаль. Срочно!,1 000 000 сумДоговорная,"Ташкент, Яккасарайский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/prodam-horoshiy-monitor-dlya-kompyutera-aoc-23-dioganal-srochno-ID363Wx.html
Elektronika,Как новый Nintendo Switch Oled 64GB,2 797 584 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/kak-novyy-nintendo-switch-oled-64gb-ID41L14.html
Elektronika,Продажа КРОНШТЕЙНЫ для ТЕЛЕВИЗОРОВ доставка установка по г. ТАШКЕНТ,200 000 сумДоговорная,"Ташкент, Шайхантахурский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/prodazha-kronshteyny-dlya-televizorov-dostavka-ustanovka-po-g-tashkent-ID3hBBr.html
Elektronika,Lg tv 2024/ 2025,2 784 868 сумДоговорная,"Ташкент, Юнусабадский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/lg-tv-2024-2025-ID441pD.html
Elektronika,Телевезор Вистел 43,2 400 000 сум,Навои,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/televezor-vistel-43-ID43bsU.html
Elektronika,Холодильник,7 121 124 сум,"Ташкент, Яккасарайский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/holodilnik-ID3Kijf.html
Elektronika,iPhone XS Max 256 Gb,2 300 000 сум,Самарканд,Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/iphone-xs-max-256-gb-ID44znE.html
Elektronika,Стиральная машина Samsung 11 кг WW11CGP44CSB,8 329 172 сум,"Ташкент, Юнусабадский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/stiralnaya-mashina-samsung-11-kg-ww11cgp44csb-ID3YtLR.html
Elektronika,Telvezo‘r tuner patistafkasi birga qo‘shib beriladi,200 000 сум,Навои,Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/telvezor-tuner-patistafkasi-birga-qoshib-beriladi-ID419AT.html
Elektronika,"ASUS K750j 17.3”: Intel i5, NVIDIA GT740M, 1TB, 8Gb RAM",800 000 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/asus-k750j-17-3-intel-i5-nvidia-gt740m-1tb-8gb-ram-ID44znD.html
Elektronika,Redmi not 10s xolati zur,1 500 000 сум,Карши,Сегодня в 10:58,https://www.olx.uz/d/obyavlenie/redmi-not-10s-xolati-zur-ID3PPxj.html
